Price,Close,Close
Ticker,GOOGL,NVDA
Date,,
01-02-24,137.1338348,48.14117813
01-03-24,137.8782196,47.5425148
01-04-24,135.3671875,47.97127914
01-05-24,134.7121429,49.069664
01-08-24,137.7988281,52.22390366
01-09-24,139.8930054,53.1104126
01-10-24,141.213028,54.31973648
01-11-24,141.0145416,54.7914772
01-12-24,141.5802612,54.67953873
01-16-24,141.4214783,56.35060501
01-17-24,140.4091187,56.02178955
01-18-24,142.4040375,57.07520294
01-19-24,145.2822876,59.4578743
01-22-24,144.8952179,59.62078857
01-23-24,145.9373322,59.83966827
01-24-24,147.5848999,61.32783127
01-25-24,150.7311096,61.58269119
01-26-24,151.0487213,60.99702072
01-29-24,152.3588257,62.43021774
01-30-24,150.3242035,62.73904419
01-31-24,139.0493774,61.49274063
02-01-24,140.1014557,62.99190903
02-02-24,141.3122864,66.12316132
02-05-24,142.6025238,69.293396
02-06-24,143.0193939,68.18501282
02-07-24,144.4485931,70.05995941
02-08-24,144.8158417,69.60221863
02-09-24,147.8826447,72.09283447
02-12-24,146.4236603,72.2077713
02-13-24,144.0515747,72.08785248
02-14-24,144.8455658,73.8588562
02-15-24,141.6993713,72.61753845
02-16-24,139.4662323,72.57256317
02-20-24,140.0617371,69.41333008
02-21-24,141.4809875,67.43444061
02-22-24,143.0094604,78.49428558
02-23-24,142.8804474,78.77311707
02-26-24,136.5383759,79.047966
02-27-24,137.8385315,78.65718079
02-28-24,135.3572693,77.61975098
02-29-24,137.4216919,79.06795502
03-01-24,136.1115723,82.23317719
03-04-24,132.3500366,85.18953705
03-05-24,131.6751099,85.92016602
03-06-24,130.4146271,88.6547699
03-07-24,133.3722687,92.62173462
03-08-24,134.3945618,87.48337555
03-11-24,136.6376038,85.73026276
03-12-24,137.46138,91.86613464
03-13-24,138.7416992,90.84165955
03-14-24,142.026886,87.89914703
03-15-24,140.1212769,87.79219818
03-18-24,146.572525,88.40989685
03-19-24,145.9274139,89.35243225
03-20-24,147.624588,90.3259201
03-21-24,146.4931641,91.3883667
03-22-24,149.6394043,94.24092102
03-25-24,148.9446106,94.95355225
03-26-24,149.5401154,92.51379395
03-27-24,149.7386017,90.20397186
03-28-24,149.7981567,90.30992126
04-01-24,154.3239746,90.31691742
04-02-24,153.4009399,89.4063797
04-03-24,153.758255,88.91864014
04-04-24,149.4011841,85.86118317
04-05-24,151.3563995,87.96311951
04-08-24,153.6887817,87.08856201
04-09-24,155.4256592,85.31045532
04-10-24,154.969101,86.99461365
04-11-24,158.2145844,90.5697937
04-12-24,156.5471802,88.14104462
04-15-24,153.6987,85.95715332
04-16-24,153.2421417,87.37042236
04-17-24,154.3041229,83.99214172
04-18-24,154.8400574,84.62781525
04-19-24,152.9344482,76.16114807
04-22-24,155.1080322,79.47746277
04-23-24,157.0731964,82.38097382
04-24-24,157.9366913,79.6363678
04-25-24,154.8301392,82.58986664
04-26-24,170.6605377,87.69026947
04-29-24,164.9040222,87.71225739
04-30-24,161.5593109,86.3579483
05-01-24,162.6312103,82.99865723
05-02-24,165.3704987,85.77323914
05-03-24,165.9858551,88.74372101
05-06-24,166.8394012,92.09301758
05-07-24,169.9657745,90.50782013
05-08-24,168.1098022,90.36589813
05-09-24,168.6854553,88.70175171
